category,niagara_personal_chars,niagara_personal_chars_alias,l1,l2,markets,generic_tag,retailers_name_tag,retailers_div_req,item,upc,brand,package_material_substance,package_general_shape,flavor,base_size,outer_pack_size,product_size,total_size,bp_concat_flavor,protein_presence_claim,bc_protein_total_store,pack_type,derived_outer_multipack_count,prc_acv,acv,tdp,avg_of_items,avg_eq_price,sales,units,eq,no_promo_unit_price,any_promo_unit_price,feat_n_disp_unit_price,feat_or_disp_unit_price,feat_wo_disp_unit_price,disp_wo_feat_unit_price,any_promo_prc_acv,no_promo_prc_acv,disp_wo_feat_prc_acv,feat_wo_disp_prc_acv,feat_n_disp_prc_acv,price_decr_only_prc_acv,any_promo_tdp,no_promo_tdp,disp_wo_feat_tdp,feat_wo_disp_tdp,feat_n_disp_tdp,price_decr_only_tdp,periods,week_ending,year,month,week_of_year,aup,median_baseprice,tpr_discount,seasonality_index,seasonality_peak_flag,seasonality_rolling_peak_flag,promo_flag,Holiday,Holiday_4th_of_July,Holiday_Juneteenth,Holiday_Martin_Luther_King_Jr_Day,Holiday_Thanksgiving_Day,Holiday_Independence_Day,Holiday_Halloween,Holiday_Washington_s_Birthday,Holiday_Valentine_s_Day,Holiday_Western_Easter,Holiday_Eastern_Easter,Holiday_Memorial_Day,Holiday_Veterans_Day,Holiday_Valentine_s_Day_n_Washington_s_Birthday,Holiday_New_Year_s_Day,Holiday_Labor_Day,Holiday_Eastern_Easter_n_Western_Easter,Holiday_Christmas_Day,Holiday_Columbus_Day,Holiday_clubbed
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,AQFN DRNK WTR BTL 42.24 FL OZ,001200014097,AQUAFINA (PEPSI COLA CO/DIV PEPSICO INC),PLASTIC,BOTTLE,UNFLAVORED,42.24 FLUID OUNCE,NOT APPLICABLE,1.32 QUART,42.24 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,0.5503,0.5503,0.5503,1.0,10.8839,296.80915960172668728,123.9569120719405448,27.27054667264481864,2.3945,,,,,,0.0,0.5503,0.0,0.0,0.0,0.0,0.0,0.5503,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,2.3944542877082022,2.3944542877082022,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VALUE ADD WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,LF WTR ELCT TST DRNK BTL 33.8 FL OZ,001200016115,LIFE WTR (SOUTH BEACH BEVERAGE CO.),PLASTIC,BOTTLE,UNFLAVORED,33.8 FLUID OUNCE,NOT APPLICABLE,33.8 FLUID OUNCE,33.8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,28.6129,28.6129,28.6129,1.0,13.7144,5530.60628066721617072,2290.7582680790855872,403.26893777083486392,2.3543,2.6383,,2.8101,,2.8101,4.9689,23.644,0.903,0.0,0.0,4.0659,4.9689,23.6441,0.903,0.0,0.0,4.0659,1 w/e 02/21/26,2026-02-21,2026,2,8,2.41431248234887,2.41431248234887,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VALUE ADD WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,LF WTR ELCT TST DRNK BTL 23.7 FL OZ,001200016116,LIFE WTR (SOUTH BEACH BEVERAGE CO.),PLASTIC,BOTTLE,UNFLAVORED,23.7 FLUID OUNCE,NOT APPLICABLE,23.7 FLUID OUNCE,23.7 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,17.9514,17.9514,17.9514,1.0,15.9481,2629.14789629891734504,1335.544077913940508,164.8562170360922856,1.9496,2.1052,,2.309,,2.309,3.622,14.3294,0.0138,0.0,0.0,3.6083,3.622,14.3294,0.0138,0.0,0.0,3.6082,1 w/e 02/21/26,2026-02-21,2026,2,8,1.968596873571951,1.968596873571951,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VALUE ADD WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,LF WTR ELCT TST DRNK BTL 6PK 33.8 FL OZ,001200017002,LIFE WTR (SOUTH BEACH BEVERAGE CO.),PLASTIC,BOTTLE,UNFLAVORED,33.8 FLUID OUNCE,6 COUNT,1 LITER,33.8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,6,19.9652,19.9652,19.9652,1.0,10.131,3793.24556711891408632,354.479143870932,374.41860655401271616,10.3049,12.0369,,12.3042,,12.3042,5.0861,14.8791,0.0636,0.0,0.0,5.0225,5.0861,14.8791,0.0636,0.0,0.0,5.0225,1 w/e 02/21/26,2026-02-21,2026,2,8,10.700899143730886,10.700899143730886,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VALUE ADD WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,LF WTR ELCT TST DRNK BTL 20 FL OZ,001200017163,LIFE WTR (SOUTH BEACH BEVERAGE CO.),PLASTIC,BOTTLE,UNFLAVORED,20 FLUID OUNCE,NOT APPLICABLE,20 FLUID OUNCE,20 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,19.1912,19.1912,19.1913,1.0,24.4762,6380.67963692731351048,2502.61735723906592232,260.68929585035264352,2.5612,2.2165,,,,,0.5595,18.6317,0.0,0.0,0.0,0.5595,0.5595,18.6317,0.0,0.0,0.0,0.5595,1 w/e 02/21/26,2026-02-21,2026,2,8,2.5496025664772812,2.5496025664772812,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VALUE ADD WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,LF WTR ELCT TST DRNK BTL 50.7 FL OZ,001200018152,LIFE WTR (SOUTH BEACH BEVERAGE CO.),PLASTIC,BOTTLE,UNFLAVORED,50.7 FLUID OUNCE,NOT APPLICABLE,50.7 FLUID OUNCE,50.7 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1 w/e 02/21/26,2026-02-21,2026,2,8,,3.9896010398960104,,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,AQFN DRNK WTR BTL 16 FL OZ,001200019458,AQUAFINA (PEPSI COLA CO/DIV PEPSICO INC),PLASTIC,BOTTLE,UNFLAVORED,16 FLUID OUNCE,NOT APPLICABLE,16 FLUID OUNCE,16 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,0.1771,0.1771,0.1771,1.0,34.3614,73.3997306901285368,25.63330832227434152,2.13613251426124264,2.8635,,,,,,0.0,0.1771,0.0,0.0,0.0,0.0,0.0,0.1771,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,2.8634513254126874,2.8634513254126874,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VALUE ADD WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,LF WTR DRNK BTL 33.8 FL OZ,001200020562,LIFE WTR (SOUTH BEACH BEVERAGE CO.),PLASTIC,BOTTLE,UNFLAVORED,33.8 FLUID OUNCE,NOT APPLICABLE,33.8 FLUID OUNCE,33.8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,0.0309,0.0309,0.0309,1.0,11.3611,5.9431084353455584,2.9715542176727792,0.52311148521821696,2.0,,,,,,0.0,0.0309,0.0,0.0,0.0,0.0,0.0,0.0309,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,2.0,2.0,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,AQFN DRNK WTR BTL 24PK 16.9 FL OZ,001200050404,AQUAFINA (PEPSI COLA CO/DIV PEPSICO INC),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,24 COUNT,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,24,12.9069,12.9069,12.9069,1.0,2.8759,16224.68717756949829496,2670.5860312424344848,5641.61299641981324472,6.3531,5.3673,,7.091,6.92,7.3059,1.6944,11.4604,0.213,0.042,0.0,1.4394,1.6944,11.2125,0.213,0.042,0.0,1.4394,1 w/e 02/21/26,2026-02-21,2026,2,8,6.0753284064851112,6.0753284064851112,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VALUE ADD WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,TLKN RN ESN IONZ WTR 9 5 PLS PH WTH ADD ELCT TST ENHN WTR BTL 33.8 FL OZ,001657195655,"TALKING RAIN (TALKING RAIN BEVERAGE CO., INC)",PLASTIC,BOTTLE,UNFLAVORED,33.8 FLUID OUNCE,NOT APPLICABLE,33.8 FLUID OUNCE,33.8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,0.3591,0.3591,0.3591,1.0,10.73,88.12750441172484208,46.6548755038102312,8.21320588110395632,1.8889,,,,,,0.0,0.3591,0.0,0.0,0.0,0.0,0.0,0.3591,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,1.8889237932813174,1.8889237932813174,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VALUE ADD WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,TLKN RN AQA IONZ WTR 9 5 PLS PH ELCT ADD TST DRNK WTR BTL 20 FL OZ,001657195687,"TALKING RAIN AQA (TALKING RAIN BEVERAGE CO., INC)",PLASTIC,BOTTLE,UNFLAVORED,20 FLUID OUNCE,NOT APPLICABLE,20 FLUID OUNCE,20 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1 w/e 02/21/26,2026-02-21,2026,2,8,,1.2899773615970362,,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,GLCR SPRN WTR JUG 320 FL OZ,001801610022,GLACIER (BUCK SPRINGS INC),PLASTIC,JUG,UNFLAVORED,320 FLUID OUNCE,NOT APPLICABLE,2.5 GALLON,320 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1 w/e 02/21/26,2026-02-21,2026,2,8,,1.4999500049995,,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,OZRK PNY WDS CLR SPRN SPRN WTR BTL 33.8 FL OZ,002259200401,OZARKA (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,33.8 FLUID OUNCE,NOT APPLICABLE,1 LITER,33.8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1 w/e 02/21/26,2026-02-21,2026,2,8,,1.1998800119988,,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,OZRK SPRN WTR BTL 24PK 16.9 FL OZ,002259205302,OZARKA (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,24 COUNT,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,24,0.0058,0.0058,0.0058,1.0,2.6773,8.58340351912207032,1.51766939144398232,3.20603078898557,5.6557,,,,,,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,5.6556477764603361,5.6556477764603361,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,OZRK SPRN WTR BTL 12PK 12 FL OZ,002259206669,OZARKA (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,12 FLUID OUNCE,12 COUNT,12 FLUID OUNCE,12 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,12,0.0847,0.0847,0.0847,1.0,4.6133,2.250454748244816,0.6504204474696,0.4878153356022,3.46,,,,,,0.0,0.0847,0.0,0.0,0.0,0.0,0.0,0.0847,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,3.4600000000000004,3.4600000000000004,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,NGR DRNK WTR BTL 16.9 FL OZ,002754100005,NIAGARA (NIAGARA DRINKING WATERS INC),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,NOT APPLICABLE,.5 LITER,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1 w/e 02/21/26,2026-02-21,2026,2,8,,160.72505,,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
